0,,,,Hi-Vol Data,,,LSC    (bgd 1.246 cpm),,,,,,,efficiency,,                     N0 / SCM Flow,,,,(2)bulk,,total flow SCM,SCF flow,IC-AG ,IC-AG,start date,2 x bulk,,fine+coarse,fine,coarse,  SO4 rev,bulk,bulk,bulk,  SO4 IC area,coarse,coarse,coarse,  SO4 IC area,fine,fine,fine,SO4 fine+coarse,
,UH13a S35 1/2,7/8-7/9/2019,07/08/19,35.2(±1.0) SCFM,1207.5,1203.896,TJ44,8/31/19,12,1.392,0.146,0.207857143,0.117,37784.18312,54,57954.68491,48,1.388E-04,,96,S01p16,1203.896,42515.2,,,07/08/19,96,,,,,1.1597,29.87,,,,,,,,,,,,
,UH14a S35 1/2,7/11-7/12/2019,07/11/19,37.5(±0.5) SCFM,976.4,990.925,TJ44,9/1/19,12,1.352,0.106,0.150714286,0.149,27396.77883,52,41361.59994,42,2.148E-04,,83,S01p18,990.925,34994.2,,,07/11/19,83,,,,,0.8866,22.83,,,,,,,,,,,,
,UH15a S35 1/2,7/16-7/17/2019,07/16/19,40.0(±1.0) SCFM,1184.4,1344.416,TJ44,9/1/19,12,1.510,0.264,0.376428571,0.103,68427.02579,47,99294.17587,74,1.094E-04,,148,S01p27,1344.416,47477.6,,,07/16/19,148,,,,,1.2380,31.88,,,,,,,,,,,,
,UH15b S35 1/2,7/16/-7/17/2019,07/16/19,40.0(±0.5) SCFM,1184.4,1344.025,TJ44,9/2/19,12,1.528,0.282,0.402142857,0.235,73101.35772,48,106920.7258,80,2.498E-04,,159,S01p28,1344.025,47463.8,,,07/16/19,159,,,,, ,,,,,,,,,,,,,
,UH15c S35 1/2,7/16-7/17/2019,07/16/19,1.13(±0.1) SCMM,1184.5,1336.734,TJ44,9/2/19,12,1.600,0.354,0.505,0.165,91798.68545,48,134268.1228,100,1.763E-04,,201,S01p26, , ,,,07/16/19,201,,,,,1.5863,40.85,,,,,,,,,,,,
,UH18c S35 1/2,7/24-7/26/2019,07/24/19,1.13(±0.007) SCMM,2777.8,3139.328,TJ40,8/27/19,12,3.485,2.239,3.197857143,0.399,581305.1128,34,760984.4776,242,1.816E-04,,485,S01p37,,,,,07/24/19,485,,,,,2.7990,72.08,,,,,,,,,,,,
,UH19c S35 1/2,7/26-7/30/2019,07/26/19,1.13(±0.010) SCMM,5442.0,6149.501,TJ40,8/26/19,12,1.960,0.714,1.019285714,0.223,185285.3241,31,236859.9583,39,5.180E-05,,77,S01p42,,,,,07/26/19,77,,,,,4.6544,119.86,,,,,,,,,,,,
,UH20a S35 1/2,7/31-8/2/2019,07/31/19,40.0(±0.5) SCFM,2775.8,2870.161,TJ50,9/11/19,12,2.755,1.509,2.155,0.325,391734.9845,42,546369.8885,190,1.618E-04,,381,S01p44,2870.161,101358.8,,,07/31/19,381,,,,,2.3823,61.35,,,,,,,,,,,,
,UH21c S35 1/2,7/31-8/1/2019,07/31/19,1.13(±0.005) SCMM,1180.5,1333.967,TJ40,8/24/19,12,2.444,1.198,1.710714286,0.303,310972.9161,24,376089.1406,282,3.245E-04,,564,S01p47, ,,,,07/31/19,564,,,,,1.3331,34.33,,,,,,,,,,,,
,UH21d S35 1/2,7/31-8/1/2019,07/31/19,1.13(±0.005),1180.6,1334.134,TJ46,9/7/19,12,2.191,0.945,1.349285714,0.259,245272.5839,38,331422.5336,248,2.773E-04,,497,S01p48,,,,,07/31/19,497,,,,,1.2624,32.51,,,,,,,,,,,,
,UH22c S35 1/2,8/2-8/5/2019,08/02/19,1.13(±0.005) SCMM,4034.2,4558.396,TJ38,8/15/19,12,2.988,1.742,2.487857143,0.296,452241.6145,13,501296.8543,110,9.276E-05,,220,S01p45,,,,,08/02/19,220,,,,,2.0223,52.08,,,,,,,,,,,,
,UH22d S35 1/2,8/2-8/5/2019,08/02/19,1.020(±0.010) SCMM,4034.3,4035.182,TJ38,8/16/19,12,3.359,2.113,3.017857143,0.230,548584.7893,14,612926.7292,152,8.143E-05,,304,S01p43,,,,,08/02/19,304,,,,,2.4091,62.04,,,,,,,,,,,,
,UH23a S35 1/2,8/5-8/9/2019,08/05/19,39.8(±0.2) SCFM,2648.1,3001.866,TJ47,9/7/19,12,2.742,1.496,2.136428571,0.219,388359.0781,33,504388.033,168,1.042E-04,,336,S01p55,3001.866,106009.9,,,08/05/19,336,,,,,2.8743,74.02,,,,,,,,,,,,
,UH24a S35 1/2,8/7-8/12/2019,08/07/19,39.9(±0.5) SCFM,7031.8,7963.130,TJ40,8/25/19,12,5.768,4.522,6.459285714,0.325,1174166.213,18,1354115.626,170,5.830E-05,,340,S01p51,7963.130,281215.3,,,08/07/19,340,,,,,5.3443,137.63,,,,,,,,,,,,
,UH25a S35 1/2,8/12-8/15/2019,08/12/19,40.0(±0.1) SCFM,4119.5,4665.339,TJ47,9/7/19,12,3.621,2.375,3.392142857,0.104,616622.2874,26,757649.1337,162,3.185E-05,,325,S01p53,4665.339,164754.9,,,08/12/19,325,,,,,3.1118,80.14,,,,,,,,,,,,
,UH26a S35 1/2,8/15-8/19/2019,08/15/19,39.5(±0.5) SCFM,5728.9,6207.208,TJ40,8/24/19,12,5.162,3.916,5.593571429,0.254,1016797.038,9,1091936.435,176,5.846E-05,,352,S01p57,6207.208,219205.5,,,08/15/19,352,,,,,2.9469,75.89,,,,,,,,,,,,
,UH27a S35 1/2,8/19-8/26/2019,08/19/19,37.3(±0.5) SCFM,10097.6,10954.683,TJ47,9/7/19,12,7.079,5.833,8.332142857,0.282,1514613.389,19,1760630.84,161,3.677E-05,,321,S01p62,10954.683,386861.0,,,08/19/19,321,,,,,7.6769,197.70,,,,,,,,,,,,
,UH28a S35 1/2,8/26-9/3/2019,08/26/19,36.0 SCFM,11384.6,11775.228,TJ48,9/10/19,12,9.178,7.932,11.33071429,0.629,2059692.429,15,2319570.168,197,7.631E-05,,394,S01p65,11775.228,415838.3,,,08/26/19,394,,,,,9.8803,254.45,,,,,,,,,,,,
,UH29a S35 1/2,9/3-9/10/2019,09/03/19,37.0(±0.5) SCFM,8853.8,9160.108,TJ52,9/16/19,12,5.879,4.633,6.617857143,0.651,1202991.26,13,1333481.296,146,1.015E-04,,291,S01p69,9160.108,323486.2,,,09/03/19,291,,,,,6.2261,160.34,,,,,,,,,,,,
,UH30a S35 1/2,9/9-9/17/2019,09/09/19,37.8(±0.5) SCFM,11113.4,11831.448,TJ53,9/19/19,12,8.128,6.882,9.830714286,0.472,1787023.066,10,1934343.446,163,5.699E-05,,327,S01p74,11831.448,417823.7,,,09/09/19,327,,,323=274+49,,7.3213,188.55,,,,,,,,,,,,
,UH34a S35 1/2,9/17-9/24/2019,09/17/19,39.0(±1.0) SCFM,10021.1,10346.910,TJ58,9/26/19,12,3.594,2.348,3.353571429,0.239,609610.7895,9,654659.8856,63,3.300E-05,,127,S01p78,10346.910,365397.7,,,09/17/19,127,,,,,5.1843,133.51,,,,,,,,,,,,
,UH35a S35 1/2,9/24-9/30/2019,09/24/19,39.8(±0.5) SCFM,8945.3,10134.168,TJ61,10/3/19,12,7.260,6.014,8.590714286,0.304,1561616.393,9,1677016.921,165,4.285E-05,,331,S01785,10134.168,357884.8,,,09/24/19,331,,,,,5.8458,150.55,,,,,,,,,,,,
,UH38a S35 1/2,9/30-10/7/2019,09/30/19,39.5(±0.5) SCFM,10033.9,11363.377,TJ65,10/11/19,12,9.418,8.172,11.67357143,0.361,2122016.855,11,2315221.783,204,4.538E-05,,407,S01p90,11363.377,401293.9,,,09/30/19,407,,,,,5.2340,134.79,,,,,,,,,,,,
,UH42a S35 1/2,10/7-10/14/2019,10/07/19,39.5(±0.5),9917.0,11228.305,TJ73,10/29/19,12,12.659,11.413,16.30357143,0.592,2963656.288,22,3527892.77,314,7.532E-05,,628,S01p95,11228.305,396523.9,,,10/07/19,628,,,,,7.2359,186.35,,,,,,,,,,,,
,UH44a S35 1/2,10/14-10/18/2019,10/14/19,40.0(±0.2),6071.5,6874.455,TJ71,10/27/19,12,5.597,4.351,6.215,0.399,1129760.06,13,1252306.612,182,8.292E-05,,364,S01p99,6874.455,242769.1,,,10/14/19,364,,,,,5.4878,141.33,,,,,,,,,,,,
,UH46a S351/2,10/18-10/22/2019,10/18/19,40.0 SCFM,5179.0,5864.325,TJ71,10/28/19,12,4.739,3.493,4.989285714,0.343,906950.2375,10,981718.3006,167,8.356E-05,,335,S01p105,5864.325,207096.7,n/a,,10/18/19,335,,,,,3.5056,90.28,,,,,,,,,,,,
,UH48a-->b S35 1/2,10/22-10/25/2019,10/22/19,40.0 SCFM,4233.5,4469.471,TJ82,11/16/19,12,3.565,2.319,3.312142857,0.365,602079.9214,25,733943.6451,164,1.167E-04,,328,S01p109,4469.471,157837.9,5,,10/22/19,328,,,,,1.3248,34.12,,,,,,,,,,,,
,PH2b S35 1/2,10/25-10/28/2019,10/25/19,40.0 SCFM,4005.4,4539.737,TJ78,11/9/19,12,6.091,4.845,6.920714286,0.343,1258044.503,15,1416775.853,312,1.079E-04,,624,SO1p115,4539.737,160319.3,2,,10/25/19,624,,,,,2.3656,60.92,,,,,,,,,,,,
,PH4b S35 1/2,10/28-11/1/2019,10/28/19,40.0 SCFM,5988.6,6782.578,TJ77,11/8/19,12,10.712,9.466,13.52214286,0.297,2458049.384,11,2681849.329,395,6.256E-05,,791,SO1p120,6782.578,239524.5,1,,10/28/19,791,,,754=645+109,,4.4704,115.13,,,,,,,,,,,,
,PH4b S35 1/2,10/28-11/1/2019,10/28/19,40.0 SCFM,5988.6,6782.578,TJ112,1/27/20,12,4.398,3.152,4.502142857,0.360,818397.6158,91,1682811.809,248,7.582E-05,,496,SO1p120,6782.578,239524.5,1,recount; -295 atom/m3,10/28/19,496,,,,,4.4704,115.13,,,,,,,,,,,,
,PH6b S35 1/2,11/1-11/5/2019,11/01/19,40.0 SCFM,5425.0,6143.835,TJ80,11/13/19,12,7.596,6.350,9.070714286,0.280,1648870.589,12,1813304.274,295,6.511E-05,,590,SO1p125,6143.835,216967.5,4,,11/01/19,590,,,,,2.6715,68.80,,,,,,,,,,,,
,PH8b S35 1/2,11/5-11/8/2019,11/05/19,40.0 SCFM,4484.5,5078.770,TJ84,11/25/19,12,5.517,4.271,6.100714286,0.242,1108985.251,20,1299369.374,256,6.807E-05,,512,SO1p127,5078.770,179355.1,4,,11/05/19,512,,,,,4.0139,103.37,,,,,,,,,,,,
,PH10b S35 1/2,11/8-11/12/2019,11/08/19,40.0 SCFM,5627.7,6372.853,TJ82,11/17/19,12,6.722,5.476,7.822142857,0.240,1421905.805,9,1526981.982,240,5.380E-05,,479,SO1p129,6372.853,225055.2,2,,11/08/19,479,,,,,6.4272,165.52,,,,,,,,,,,,
,PH12b S35 1/2,11/12-11/15/2019,11/12/19,40.0 SCFM,4277.7,4844.616,TJ83,11/21/19,12,5.168,3.922,5.602142857,0.316,1018355.149,9,1093609.687,226,9.318E-05,,451,SO1p137,4844.616,171086.0,3,,11/12/19,451,,,,,5.7511,148.11,,,,,,,,,,,,
,PH14b S35 1/2,11/15-11/22/2019,11/15/19,40.0 SCFM,9880.2,11188.761,TJ86,12/2/19,12,8.833,7.587,10.83785714,0.342,1970101.067,17,2254105.994,201,4.367E-05,,403,SO1p141,11188.761,395127.4,ck ICAg,,11/15/19,403,,,,,5.3162,136.91,,,,,,,,,,,,
,PH16b S35 1/2,11/22-11/30/19,11/22/19,40.0 SCFM,11343.6,12848.270,TJ88,12/10/19,12,8.390,7.144,10.205,0.598,1855060.564,18,2139361.932,167,6.649E-05,,333,S01p146,12848.270,453732.4,2,,11/22/19,333,,,,,4.1319,106.41,,,,,,,,,,,,
,PH18b S35 1/2,11/30-12/5/19,11/30/19,40.0 SCFM,6889.6,7806.631,TJ91,12/13/19,12,4.479,3.233,4.617857143,0.145,839432.1095,13,930486.4091,119,2.653E-05,,238,S01p149,7806.631,275688.6,3,,11/30/19,238,,,,,,,,,,,,,,,,,,
,PH20b S35 1/2,12/5-12/9/19,12/05/19,40.0 SCFM,5706.9,6466.168,TJ89,12/13/19,12,3.913,2.667,3.809285714,0.219,692450.3388,8,737753.6631,114,4.838E-05,,228,S01p153,6466.168,228350.6,5,,12/05/19,228,,,,,,,,,,,,,,,,,,
,PH22b S35 1/2,12/9-12/12/19,12/09/19,40.0 SCFM,4275.7,4842.328,TJ90,12/15/19,12,3.022,1.776,2.536428571,0.223,461070.9081,6,483514.8061,100,6.579E-05,,200,S01p157,4842.328,171005.2,n/a,,12/09/19,200,,,,,,,,,,,,,,,,,,
,PH24b S35 1/2,12/12-12/16/19,12/12/19,40.0 SCFM,5713.6,6470.203,TJ94,12/21/19,12,4.543,3.297,4.709285714,0.323,856051.9564,9,919312.5933,142,7.132E-05,,284,S01p165,6470.203,228493.1,2,,12/12/19,284,,,,,3.6178,93.17,,,,,,,,,,,,
,PH26b S35 1/2,12/17-12/20/19,12/17/19,40.0 SCFM,4571.4,5177.299,TJ97,12/28/19,12,6.962,5.716,8.165,0.387,1484230.231,11,1619366.102,313,1.068E-04,,626,S01p167,5177.299,182834.6,1,,12/17/19,626,,,,,1.7077,43.98,,,,,,,1.7077,,,,,
,PH28b S35 1/2,12/20-12/24/19,12/20/19,40.0 SCFM,5609.9,6352.878,TJ97,12/29/19,12,6.388,5.142,7.345,0.312,1335170.979,9,1433837.615,226,7.016E-05,,451,S01p172,6352.878,224349.8,ck ICAg,,12/20/19,451,,,,,1.9562,50.38,,,,,,,1.9562,,,,,
,PH30b S35 1/2,12/24-12/27/2019,12/24/19,40.0 SCFM,4276.5,4842.721,TJ98,1/1/20,12,3.610,2.364,3.376428571,0.204,613765.7512,8,653921.1636,135,6.018E-05,,270,S01p173,4842.721,171019.1,4,,12/24/19,270,,,,,1.2633,32.53,,,,,,,1.2633,,,,,
,PH32b S35 1/2,12/27-12/31/2019,12/27/19,40.0 SCFM,5507.5,6236.363,TJ100,1/6/20,12,5.026,3.780,5.399285714,0.339,981479.8633,10,1062392.074,170,7.766E-05,,341,S01p178,6236.363,220235.1,4,,12/27/19,341,,,,,1.3549,34.89,,,,,,,1.3579,,,,,
,PH34b S35 1/2,12/31-1/4/2020,12/31/19,40.0 SCFM,5389.8,6104.254,TJ102,1/7/20,12,5.985,4.739,6.769285714,0.306,1230517.881,7,1300679.6,213,7.161E-05,,426,S01p182,6104.254,215569.7,1,,12/31/19,426,,320,236,84,2.8406,73.15,0.76,25.91,2.0263,52.18,0.54,18.48,1.2422,31.99,0.33,11.33,29.81,
,PH36b S35 1/2,1/4-1/7/2020,01/04/20,40.0 SCFM,4084.6,4625.531,TJ103,1/8/20,12,4.996,3.750,5.356428571,0.502,973689.31,4,1005036.359,217,1.550E-04,,435,S01p186,4625.531,163349.1,2,,01/04/20,435,,334,233,101,2.6084,67.17,0.70,23.79,1.1193,28.83,0.30,38.06,0.9058,23.33,0.24,8.26,46.32,
,PH38b S35 1/2,1/7-1/10/20,01/07/20,40.0 SCFM,4628.2,5240.938,TJ109,1/23/20,12,3.165,1.919,2.740714286,0.295,498205.8785,16,565528.2868,108,8.041E-05,,216,S01p189,5240.938,185082.0,2,,01/07/20,216,,144,99,45,1.9628,50.55,0.53,17.90,3.8840,100.02,1.04,35.43,0.3881,9.99,0.10,3.54,38.97,
,PH40b S35 1/2,1/10-1/14/20,01/10/20,40.0 SCFM,5439.7,4681.961,TJ109,1/22/20,12,4.337,3.091,4.415,0.389,802556.8243,12,882591.8356,189,1.187E-04,,377,S01p194,4681.961,165341.9,3,,01/10/20,377,,256,175,81,3.2861,84.63,0.88,29.97,13.3820,344.63,3.59,122.06,1.3161,33.89,0.35,12.00,134.06,
,PH42b S35 1/2,1/14-1/17/2020,01/14/20,40.0 SCFM,4134.5,6160.244,TJ108,1/22/20,12,5.192,3.946,5.636428571,0.361,1024587.591,8,1091620.88,177,8.372E-05,,354,S01p195,6160.244,217547.0,5,,01/14/20,354,,, ,152,3.0445,78.41,0.82,27.77,7.9151,203.84,2.12,72.19,1.1813,30.42,0.32,10.77,82.97,
,PH44b S35 1/2,1/17-1/22/2020,01/17/20,40.0 SCFM,7181.9,8132.688,TJ111,1/24/20,12,9.561,8.315,11.87785714,0.571,2159151.825,7,2282262.431,281,1.003E-04,,561,S01p200,8132.688,287203.2,5,,01/17/20,561,,437,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH44b S35 1/2,1/17-1/22/2020,01/17/20,40.0 SCFM,7181.9,8132.688,TJ141,3/25/20,12,4.304,3.058,4.367857143,0.282,793987.2158,68,1360682.567,167,4.954E-05,,335,S01p200,8132.688,287203.2,5,recount; -301 atom/m3,01/17/20,335,,437,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH46b S35 1/2,1/22-1/27/2020,01/22/20,40.0 SCFM,7103.2,8043.043,TJ113,1/30/20,12,5.458,4.212,6.016428571,0.316,1093663.83,8,1165216.408,145,5.613E-05,,290,S01p207,8043.043,284037.4,2,,01/22/20,290,,,134,,6.1954,159.55,1.66,56.51,2.9259,75.35,0.78,26.69,1.7967,46.27,0.48,16.39,43.07,
,PH48b S35 1/2,1/27-1/30/2020,01/27/20,40.0 SCFM,4000.0,4530.004,TJ115,1/31/20,12,3.097,1.851,2.643571429,0.171,480547.2912,4,496018.0775,109,5.393E-05,,219,S01p212,4530.004,159975.6,3,,01/27/20,219,,201,147,54,4.0194,103.51,1.08,36.66,1.8708,48.18,0.50,17.06,1.5066,38.80,0.40,13.74,30.80,
,PH50b S35 1/2,1/30-2/3/2020,01/30/20,40.0 SCFM,5649.0,6396.936,TJ116,2/5/20,12,5.686,4.440,6.342142857,0.527,1152872.034,6,1208991.26,189,1.177E-04,,378,S01p215,6396.936,225905.7,5,,01/30/20,378,,326,271,55,2.8229,72.70,0.76,25.75,2.5234,64.99,0.68,23.02,1.3649,35.15,0.37,12.45,35.46,
,PH52b S35 1/2,2/3-2/6/2020,02/03/20,40.0 SCFM,4642.3,5257.492,TJ119,2/10/20,12,7.626,6.380,9.113571429,0.286,1656661.142,7,1751120.715,333,7.771E-05,,666,S01p219,5257.492,185666.6,5,,02/03/20,666,,,,94,5.7445,147.94,1.54,52.39,1.2224,31.48,0.33,11.15,,0.00,0.00,0.00, ,
,PH52b S35 1/2,2/3-2/6/2020,02/03/20,40.0 SCFM,4642.3,5257.492,TJ141,3/25/20,12,4.544,3.298,4.710714286,0.386,856311.6415,51,1282594.377,244,1.049E-04,,488,S01p219,5257.492,185666.6,5,recount; -178 atom/m3,02/03/20,488,,,,94,5.7445,147.94,1.54,52.39,1.2224,31.48,0.33,11.15,,0.00,0.00,0.00, ,
,PH54b S35 1/2,2/6-2/10/2020,02/06/20,40.0 SCFM,5326.6,6031.995,TJ122,2/12/20,12,5.911,4.665,6.663571429,0.263,1211301.183,6,1270264.609,211,6.229E-05,,421,S01p223,6031.995,213017.9,2, ,02/06/20,421,,377,263,114,3.2965,84.89,0.88,30.07,1.4695,37.84,0.39,13.40,1.0643,27.41,0.29,9.71,23.11,
,PH56b S35 1/2,2/10-2/13/2020,02/10/20,40.0 SCFM,4026.0,4560.085,TJ123,2/15/20,12,5.031,3.785,5.406428571,0.238,982778.2888,5,1022485.758,224,7.456E-05,,448,S01p229,4560.085,161037.9,3, ,02/10/20,448,,380,255,125,1.2310,31.70,0.33,11.23,1.1243,28.95,0.30,10.25,1.9811,51.02,0.53,18.07,28.32,hold until have fine
,PH58b S35 1/2,2/13-2/17/2020,02/13/20,40.0 SCFM,6048.3,6849.754,TJ124,2/18/20,12,10.129,8.883,12.68928571,0.514,2306652.966,5,2399849.319,350,1.072E-04,,701,S01p231,6849.754,241896.8,1, ,02/13/20,701,,,,130,5.8364,150.30,1.57,53.23,3.3577,86.47,0.90,30.63,,0.00,0.00,0.00,,
,PH58b S35 1/2,2/13-2/17/2020,02/13/20,40.0 SCFM,6048.3,6849.754,TJ141,3/24/20,12,6.577,5.331,7.615,0.311,1384251.465,40,1900328.598,277,6.486E-05,,555,S01p231,6849.754,241896.8,1,recount; -146 atom/m3,02/13/20,555,,,,130,5.8364,150.30,1.57,53.23,3.3577,86.47,0.90,30.63,,0.00,0.00,0.00,,
,PH60b S35 1/2,2/17-2/20/2020,02/17/20,40.0 SCFM,4002.5,4532.504,TJ126,2/22/20,12,6.688,5.442,7.773571429,0.260,1413076.512,5,1470169.442,324,8.195E-05,,649,S01p235,4532.504,160063.9,1, ,02/17/20,649,,449,275,174,5.1681,133.09,1.39,47.14,2.7254,70.19,0.73,24.86,1.4736,37.95,0.40,13.44,38.30,
,PH62b S35 1/2,2/20-2/24/2020,02/20/20,40.0 SCFM,5536.7,6270.153,TJ128,2/25/20,12,7.674,6.428,9.182142857,0.465,1669126.028,5,1736564.199,277,1.059E-04,,554,S01p241,6270.153,221428.4,1, ,02/20/20,554,,,,105,6.0787,156.54,1.63,55.44,2.6064,67.12,0.70,23.77,1.8620,47.95,0.50,16.98,40.76,
,PH64b S35 1/2,2/24-2/27/2020,02/24/20,40.0 SCFM,4366.3,4967.301,TJ131,2/28/20,12,6.960,5.714,8.162142857,0.387,1483710.861,4,1531477.593,308,1.113E-04,,617,S01p244,4967.301,175418.6,3, ,02/24/20,617,,,,,2.8510,73.42,0.76,26.00,,,,,1.0485,27.00,0.28,9.56,,
,PH66b S35 1/2,2/27-3/2/2020,02/27/20,40.0 SCFM,5638.3,5186.338,TJ135,3/10/20,12,5.847,4.601,6.572142857,0.347,1194681.336,12,1313820.98,253,9.558E-05,,507,S01p247,5186.338,183153.8,2, ,02/27/20,507,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH68b S35 1/2,3/2-3/5/2020,03/09/20,40.0 SCFM,4579.6,5186.338,TJ135,3/11/20,12,4.674,3.428,4.896428571,0.299,890070.7055,2,904284.7214,174,8.236E-05,,349,S01p250,5186.338,183153.8,3, ,03/09/20,349,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH70b S35 1/2,3/5-3/9/2020,03/09/20,40.0 SCFM,5028.1,5693.945,TJ138,3/14/20,12,2.725,1.479,2.112142857,0.319,383944.4312,5,399457.0468,70,8.003E-05,,140,S01p254,5693.945,201079.8,3,not quite clear,03/09/20,140,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH72b S35 1/2,3/9-3/12/2020,03/09/20,40.0 SCFM,4495.4,5090.989,TJ138,3/15/20,12,2.859,1.613,2.303571429,0.298,418742.2356,6,439125.6688,86,8.362E-05,,173,S01p255,5090.989,179786.6,3->1,"1st clean 3rd use, light brown",03/09/20,173,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH74b S35 1/2,3/12-3/16/2020,03/12/20,40.0 SCFM,5517.1,6247.608,TJ142,3/18/20,12,5.256,4.010,5.727857143,0.428,1041207.438,6,1091891.082,175,9.787E-05,,350,S01p260,6247.608,220632.2,1,,03/12/20,350,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
,PH76b S35 1/2,3/16-3/19/2020,03/28/20,40.0 SCFM,4271.8,4837.978,TJ142,3/31/20,12,5.949,4.703,6.717857143,0.429,1221169.217,3,1250537.953,258,1.267E-04,,517,S01p264,4837.978,170851.6,1,,03/28/20,517,, ,258,179,16.4518,423.68,4.41,150.05,17.6047,453.37,4.72,160.57,1.5506,39.93,0.42,28.70,189.27,
